consumer_id,total_interactions,unique_articles,unique_sessions
-7898880382889684604,56,20,38
-229539536136014922,56,31,24
2959376686327377624,55,32,23
-4069033192522234994,55,33,25
-6805567438224540711,54,44,26
-4309872815953358011,54,34,27
520352373907677790,54,40,33
2873028073541627603,54,38,24
-2184225127953983407,54,33,25
-5873562008332486480,54,36,29
-6933516293840979472,53,37,31
-4751604321660934118,53,27,24
7167124757087633794,53,34,32
-7103674836099895927,53,40,35
-5088875531913232577,53,15,30
3951178344539492760,52,38,24
-468976912875459588,52,30,26
5663484293775216130,52,41,33
5867547777922915203,51,21,24
1811781596621121379,51,41,34
6177317203370394776,51,33,28
3290087150125937633,51,34,24
4142810830429822977,51,28,24
3852137951376367218,51,16,20
2553895156129400476,51,39,36
-8205402408645015051,51,26,20
-7909814890969546668,51,24,24
3694088851120856010,50,35,27
5206835909720479405,50,22,27
1560134519462672730,50,28,22
5853826697811091550,50,41,28
6040926917589508037,50,32,23
5914788199018040446,49,39,32
4795304184119033503,49,30,22
7020155836312304353,49,45,19
5713241217519616260,49,43,28
-3362047598052899495,48,18,20
7703284633155187943,48,28,22
-1889513471801335580,48,28,31
4426818790545324760,48,33,34
-3595444231792050977,48,39,34
8663735706448940860,48,39,36
4340306774493623681,47,32,17
5705041016417759824,47,27,22
-2373656804845892625,47,30,17
-3508202263850468997,47,30,26
-4243635261966794110,47,34,20
8879844298911979276,47,39,36
2195040187466632600,47,5,11
-3696538850054062306,47,28,23
6120111409505648242,47,39,25
-8336698712796133957,47,19,21
-8384598282283588647,47,29,21
-5475982967047071860,46,21,20
-7329305023392956798,46,33,30
909651159261292691,46,27,23
2766187446275090740,46,36,30
2318971825420092215,46,23,21
8759620187357735368,46,24,19
363824806352919913,46,17,28
7302126548210559734,46,30,27
-1402490765047599382,46,30,28
6967147874415599925,46,31,25
8573995950821939440,45,26,26
-8446209748110806120,45,30,28
8874741321583329336,45,24,19
7585672106741478592,44,29,25
-3333861147700991931,44,26,35
3499125955852759846,44,44,23
-1372859690779491423,44,33,29
5200962297848391505,43,23,20
5127072228892237265,43,22,19
-1496589699638750920,43,30,30
-5636811822913690686,43,15,26
-6174073684310263806,43,22,20
-5292464982436362617,43,21,26
-7393811715153527033,42,28,27
-1848938642635494958,42,15,23
-5639303336519418445,42,36,26
-8420584158427265596,42,19,12
-8891033171626175843,42,19,19
-7118575739764684077,42,28,28
4537318193229625884,42,23,21
333499316725738941,42,29,24
-1352542225971050638,41,32,27
-8388706028506253757,41,20,15
548750006199694898,41,32,29
3681539658619684640,41,31,25
-8436122021634018264,41,19,18
4889177802413345393,41,23,25
-6196110550195246902,40,19,19
-8719462623048086192,40,29,23
8516310373487915663,40,23,24
264882333231965121,40,27,26
8920667914865172372,40,27,23
-7611460419696903236,40,29,26
813951249416003615,40,10,17
2530443148414180019,40,6,28
2878978621264298198,40,27,27
4778050608932092852,40,26,17
-7656701953949775820,40,38,22
-9047547311469006438,40,24,24
292607709308972335,40,21,19
8250502084456448386,40,24,20
-830175562779396891,40,24,27
-2399792467181202454,40,24,19
-8994220765455693336,39,27,25
-3992639648918314515,39,24,19
8341545449730058951,39,24,21
-2457136404620190048,39,25,22
-2337468721613240548,39,17,19
8913362709216003291,39,23,20
-3352759316178227738,38,17,20
7977599065228355745,38,21,19
8354413736311351349,38,18,14
-5187161118553677346,38,26,29
-7365517474830766511,38,34,28
-6105296070998675410,38,31,28
5220802546024427652,38,24,19
-6201845445987166377,38,21,11
2710839964657524617,38,28,26
2652684983165843086,38,28,27
-6939883833521991898,37,30,25
4918484843075254252,37,19,16
-4355190001103094206,37,28,25
-290301761563498796,37,20,18
-7410485589492665094,37,26,27
3649923015832992113,36,21,20
-4246040813531967142,36,33,19
-4293690759387208926,36,14,11
-8532959362941292070,36,14,20
-1994081661238157543,36,25,20
8189031666388954162,36,24,24
-6810967503878969134,36,27,21
5707382540067831352,36,23,17
-7711052404720939396,36,20,21
1097401149118884075,36,28,20
-8004014040019183404,35,28,25
7530102388348371118,35,23,21
6686431125336194142,35,31,12
-7566898119905906259,35,22,19
997469202936578234,35,17,20
4870191573331352123,35,18,17
3413008167249007087,35,18,19
3508383192344282071,35,24,20
-7421703586506797266,35,13,24
-5713424050095083786,35,21,21
-7269286898191176947,35,26,21
-7542032833609444223,34,20,13
7235668197683658513,34,19,17
7193191844620858589,34,20,20
-4447090897576014728,34,28,17
-5145337910218163424,34,19,17
1163668879480930452,34,26,20
7421498048184238966,34,15,17
8572969747961902966,34,13,15
3118792477913513242,34,16,21
3007736603136734729,34,14,14
6408246065272657336,33,19,16
-8051903121006324833,33,26,19
495422936350381071,33,27,23
-7381477755938439823,33,22,21
4946304010805340284,33,16,7
-3097435095152083451,33,27,14
1367440638985257517,33,19,17
-1410112619805614798,33,22,18
-444330148331768170,33,28,22
-4491909192209964776,33,24,22
-7574071014482881124,33,21,17
5328649570833345873,33,28,18
-9172914609055320039,33,24,23
7518465061839634935,33,17,15
6409254426985102122,32,14,18
4067645678703694326,32,20,19
-8607239111818252463,32,22,19
-3620817660824718175,32,25,22
8418615305660062636,32,22,24
-5052218473217969334,32,27,21
-4998109382710136565,32,25,14
6196511437047227700,32,18,19
7554279798570266254,32,18,20
-4951114616026800382,32,23,19
-4654217101618903973,32,23,17
-962915895568757637,32,20,18
7208764727755771951,31,15,9
-1547632488317277075,31,23,17
-3624328811734325188,31,28,21
-5969793184455185931,31,19,14
-4045556372014952225,31,22,15
-3452896239697713851,31,17,21
5263287149644492961,31,20,21
4297386640890689301,31,23,21
-4659085198634436081,31,22,17
6034233372333743148,31,14,14
2811220157680321451,31,20,19
-174458633445209100,30,18,21
6650574433856141080,30,15,15
5175412143320664868,30,21,21
-5281916878353077993,30,22,21
-663224541983667655,30,13,15
-7065799990117843402,30,22,20
4672375507299551161,30,15,19
8892482595912468268,30,16,18
2597011162480707820,29,16,19
-8424644554119645763,29,11,12
989049974880576288,29,19,15
5404470824348262768,29,15,17
-5918600103053825191,29,22,20
-453678802103139441,29,24,17
8144386916269720437,29,21,18
2653698047369148236,29,15,15
-3275942195366018617,29,19,17
4794949202379942794,29,24,19
-2936612463070256553,29,18,16
-3622247491936204151,28,4,17
9013651444868609421,28,19,15
4603346753290831004,28,17,15
3568240335801676264,28,19,17
953707509720613429,28,18,15
2405211284771043881,28,9,10
701021893037319987,28,20,18
-2376088187709738156,28,16,15
6465469928207780773,28,20,15
-6874532444478397764,28,24,12
-3466571388255450931,28,20,15
-2472976734554639184,28,12,9
-8784674845716296727,28,21,13
-5201927981686846343,27,11,14
7741213197781008422,27,14,17
267728530742702522,27,18,20
2891568537595470094,27,15,16
-9156344805277471150,27,14,12
-3295609019604191449,27,17,15
6773859371279096371,27,10,11
-4116514811367777845,27,24,10
1070632260016389736,27,24,20
-8417075466521236595,27,23,18
1598729374254679339,27,13,11
-4467650312287951120,26,11,13
1874422396201148365,26,15,16
9199170757466086545,26,14,15
-2615487427211911927,26,15,16
-5118506922564478779,26,13,10
-5676352709327073303,26,11,14
3743262342828860520,26,22,20
7606269372482386958,26,24,19
9187866633451383747,26,17,17
-737564610065686480,26,20,20
6315091808248158885,26,24,21
2349820930531316047,26,18,15
-6273276101162180437,26,20,17
1377941589660984019,26,19,14
8615245686887763683,25,17,15
436785895835580263,25,12,15
3763760030606782798,25,11,11
-960951213834982069,25,14,18
5226673542598775232,25,13,16
-6361883726252419530,25,21,7
6719657604701927366,25,20,14
4231150940887368692,25,16,17
1365060072341041043,25,15,12
344280948527967603,25,8,12
-5564980755503989625,25,18,21
-315113304665694510,25,16,15
3581462318368446161,25,9,16
2956253493737623301,24,16,12
8180111365399889286,24,20,19
-7377845572432324217,24,12,11
7004923583685899415,24,15,14
6546316929334980944,24,14,10
1234962692819082604,24,17,17
6634405260717362812,24,14,13
-8093344434152153830,24,19,16
9105269044962898535,24,17,19
-7963931769298005669,24,21,20
5331529367419076871,24,11,9
-4154712816784766009,24,16,16
490109768671667408,24,10,15
-8672331451814079632,24,10,9
5321535590192312132,24,17,16
-2233054196721773008,23,16,11
7712504245368411024,23,12,13
-8430239657678001264,23,17,16
-5087878572343192653,23,11,13
5285998971508885394,23,17,14
8862260182894039021,23,17,15
8801420707973230165,23,15,13
-2922237472410262877,23,14,9
-6411371239765052331,23,14,14
-2720944634081565632,23,15,15
4313424003136719348,23,16,13
374329072173397727,22,21,18
-6493929577026741456,22,7,8
1771843275312644574,22,13,15
147389924550257400,22,19,17
8368708280460693260,22,20,18
-4611709672528454566,22,15,15
-2644571257397324782,21,10,12
-2165869757092084791,21,14,10
3856314584219831841,21,15,14
2785512916786763092,21,17,16
4942487288765370891,21,14,14
-1915495401947962903,21,12,10
7984451585080990517,21,18,12
5357244621297233547,21,13,11
-5369165863004219744,21,13,10
-698695976631873505,21,17,16
-5131518539710081313,21,14,5
7857964154553078459,21,18,13
4991824953436022802,21,17,16
7438444945156715220,21,14,11
-6195985550971229641,21,16,15
-4618303625354887816,21,13,10
7047489233409645826,21,11,9
-41506117647079716,21,16,15
-4830018755429682246,21,13,13
2111379813881770134,21,11,11
7337097409801560661,21,17,11
1072886587484133150,21,16,15
-123314413156450014,21,13,11
-3999591444223936177,20,9,9
-4051949751637798126,20,16,10
-2455286848766388141,20,6,7
2805413569924963145,20,18,16
-4756235019094063793,20,13,11
7660434827542910956,20,12,14
-6734098108417569342,20,12,11
4947619689618669252,20,15,14
1962800348704770740,20,14,14
-1930650513477268660,20,17,14
7869282721414305216,20,17,14
-1678759546322702318,20,11,9
4700771033189012708,20,8,13
8940614478925413056,20,10,10
-5645906903825510952,20,10,8
1200132673411527362,20,14,12
8941502917401491878,20,18,13
4548917054177353037,20,9,9
1178253609400958886,20,9,8
-4448388750105189364,19,17,10
6860472782621321785,19,13,13
1899224753659027997,19,15,13
5000549443219971803,19,11,7
9191849144618614467,19,12,12
-7753289154322622303,19,10,11
5467013274030405401,19,14,14
-4755053149333666310,19,11,10
-1489196353998999052,19,11,10
3943833391732076335,19,16,8
1311167471776689091,19,11,11
7565903375902761063,19,11,11
7866703251910305848,19,17,11
6186967354004372292,19,10,9
-7658896905823060250,19,10,10
8847054836611412804,19,16,13
-3325508780389598615,19,16,14
3061140421699761127,19,12,5
5970634102483953353,19,8,5
6259736937759908767,19,11,10
-6067117771623247046,18,11,11
-5442497765070894440,18,11,7
7584856762328012632,18,8,8
-1694477146133918626,18,16,16
-7910759941896704223,18,14,9
3861743074882551715,18,6,8
5019290970146412524,18,10,8
6574579966911353978,18,7,7
3773993939681666059,18,12,12
-74507320040642686,18,14,13
8961723342122872302,18,13,16
7316935598591113280,18,13,13
-6850499260033618177,18,16,15
9090527742744334314,18,10,11
-6234126753805415756,18,11,12
4237436872789054577,18,11,15
5907617845968952831,18,12,12
-7520836932719953265,18,12,11
3592784031357342393,18,9,9
7001798922437039535,17,13,9
1314381940843524798,17,12,10
-3815514359891076081,17,12,12
-3806521031040937656,17,14,12
-5349775063975483956,17,12,12
3975064578509078598,17,15,11
-8411878656309735649,17,11,10
3877012245649171389,17,10,8
-2353507205274319323,17,9,9
-6834891987379050070,17,17,16
-2465847828331443343,17,6,6
27448098970818567,17,9,13
-5091443926295682841,17,5,14
-4529000568350205155,17,16,15
-7946448731524943718,17,12,12
-1951226479575477884,17,15,12
-8093201745874454494,17,12,8
8531798655176011897,17,11,10
-6037268165948401442,17,8,7
4519830131595431685,17,12,12
-8699750646678621887,17,15,14
-7957197279845818597,17,11,11
4538019749913665294,17,14,14
-4111723879505360159,17,15,14
7181121382861702936,16,10,9
4003231815629501248,16,15,10
8389544657102033065,16,7,5
9137372837662939523,16,13,11
-468849228680532284,16,8,6
-2368904890804470706,16,11,12
-243996608453935772,16,9,12
-300596929621183623,16,10,9
-5394062070584740055,16,14,14
-1454518985966405190,16,9,10
8992729171160464416,16,15,15
-6023498443312206944,16,13,12
5443789138803907929,16,12,10
3117868596680657524,16,14,14
-6947734781716817823,16,11,10
1722265956540512475,16,12,10
-4744441833918341987,16,8,3
8494103216511135887,16,10,7
6999578934585823267,16,11,10
8540709753752328723,16,10,9
5683958305498326032,16,9,8
-8620763856232712186,16,12,12
-4367677270653877094,16,12,12
7056830237116201003,16,10,8
-1561982036714087726,16,8,9
9135582630122950040,16,11,3
4965319960651517505,16,9,10
1842102772860934554,15,13,9
3262617661597841651,15,10,10
2828232395245246552,15,10,10
2446947580409722972,15,9,12
1929981821863611546,15,9,9
271781656508459677,15,10,9
-6533304626998890151,15,10,10
-8251340065348651782,15,13,13
2183860428276579583,15,9,9
-9199575329909162940,15,11,10
-5847938315205392554,15,9,8
1538315580625707373,15,8,7
-6502100706127527925,15,12,11
-1795678272668135222,15,7,8
8801970869404590779,15,11,10
3169151869928871334,15,7,7
1294815114730489475,15,9,9
6136591349108383474,15,9,10
4913740877702283721,15,10,10
-4097432147189001825,15,13,12
8243474948679935093,15,12,12
-5189509074197685318,15,13,11
-3416264867487266035,15,8,10
-7180761520671049625,15,12,9
5447073013858620840,15,12,12
5640522320021444231,15,10,9
-2484779020675533629,15,13,12
-5404285628365611524,15,15,14
6025457302462074178,15,14,10
-4095153241356673613,14,12,7
-7210005267264599337,14,9,10
4973223873869255414,14,10,10
6879394870211872116,14,6,6
-8686631410634491662,14,10,11
1720358903345561796,14,11,9
6935578859207277054,14,6,7
6767912612638555664,14,10,9
-8123627990288459252,14,4,11
1539552466471655556,14,13,12
200898048267462935,14,7,7
-3933783680725097100,14,12,11
3494915559963121377,14,7,6
-3896187702811204367,14,14,12
3469804916091663734,14,11,8
3468719753199592246,14,8,8
2320740534295635804,14,11,8
-6003416708481128042,14,11,8
-709489070586681689,14,14,11
-2406209330529428019,14,11,11
9091970136990402395,14,10,10
-446108537367277392,14,8,9
-9207251133131336884,14,7,6
4448931013501667169,14,12,11
-5150600065224095351,14,7,10
-4423008059717567142,14,8,9
8813266398846460512,14,8,9
8271619811366074205,14,9,10
-375620451534537810,14,8,8
4110069906204072059,14,12,8
-2124216952049350222,14,9,9
-6149164633108566454,14,11,9
-5548445604678482863,14,13,12
9038446466275805109,13,10,9
-8402550747787819270,13,12,9
7192340689726207788,13,13,9
-8306418824693202277,13,6,7
7293456872726425233,13,11,11
1037187242736800310,13,5,4
-8058416136173881530,13,12,11
-5795907895499274955,13,10,10
7410250256723888301,13,9,8
915429212131112741,13,8,7
-5927761996778212028,13,7,8
3014865794683484443,13,12,12
5316031233920901237,13,9,10
2207651454681143681,13,10,10
-7980653669913930599,13,7,5
1697979965458795260,13,8,8
-8909668725653743114,13,9,8
3005175913610348223,13,10,6
6970482293998499949,13,9,7
5489180667547554980,13,10,8
5469217996124449648,13,10,9
-3057753924708856977,13,9,9
-6276733705223916438,13,10,8
-4359668517495657229,13,6,11
998688566268269815,13,6,6
-57558373945119606,13,11,12
5598109800222509376,13,6,4
-5388083602161519863,13,7,8
-8560472911230584244,13,9,8
2736634093130347762,13,10,12
-2545236939408275407,13,9,7
-8738496712327699923,13,11,11
-7253045327330314894,13,11,8
2092066876657604795,13,12,11
-2987910693129502800,12,7,6
3035603429390266976,12,9,6
-3683161502313045202,12,10,9
-7482701687530266291,12,8,8
1059826223086140014,12,10,9
-8446652614764495168,12,12,8
3168119895433884486,12,7,7
8323853447348356571,12,9,10
-5444946123447491034,12,5,4
148641288870400064,12,7,6
4402305355102966434,12,11,10
-558674720007730591,12,10,9
-4810326597879746920,12,6,8
-9060214117327732109,12,8,8
-2350646782030041037,12,7,6
-4207306127013767407,12,8,8
-4167415844282118439,12,6,9
4055846614004717711,12,9,7
-5661737290289697460,12,6,8
-5374802517306837266,12,6,6
-7273988155925360003,12,8,9
-2341407360157577080,12,10,9
-5355462854406417157,12,9,9
4089451522605829298,12,11,9
155995321339849783,12,10,9
-2206389024273286643,12,8,7
8508358165038280975,12,8,7
-5812738875803363289,12,9,8
-5094446514734487376,12,9,6
8562738815734604501,12,10,10
7555752854236030786,12,7,8
2758633233367218711,12,9,9
-8854674432071487111,12,5,7
3028038382445447853,12,12,10
8556982196776583357,12,9,9
-3424085881110247816,11,7,7
-9188188261933657343,11,9,8
2742184667238777387,11,8,8
-376778416081419926,11,5,6
2612012348742830907,11,6,6
6842776165746724681,11,9,8
1104652557829563522,11,7,8
-4596110728469327807,11,6,6
865004478722151014,11,6,6
-4712939006281398894,11,11,9
852862045361757752,11,3,4
-6551899843081273989,11,5,4
712677817405323177,11,9,9
-4805195090397567709,11,9,9
-8823950498314351783,11,7,5
9102085903669288476,11,8,7
1763748489948355015,11,8,8
-6284920522659750073,11,6,2
1766127404965083143,11,4,5
327880779830247103,11,10,9
6686977580828209471,11,6,7
1915826476552544131,11,10,8
54023883492884059,11,9,10
-6606373800483513352,11,9,8
2366804926588454563,11,10,9
-7619256453002568786,11,10,10
2418539605878888070,11,3,3
6365858151678833812,11,3,3
5851603283697446214,11,9,9
-5611964175902830423,11,7,8
3599964226336487260,11,8,7
2903276950629630374,11,9,10
4112820676974012466,11,7,6
-3160777155871929764,11,5,4
-7457924553609117653,11,8,8
3843342266203043708,11,8,8
-2674237157038464789,11,10,8
3258998879061034753,11,6,5
-7371331529308244882,11,6,6
4235703649180530683,11,10,9
-1272364595235252747,11,8,8
4309036796659976637,11,7,6
-900146660487611772,10,6,6
3416948067212774732,10,9,9
-3922165526049430121,10,8,7
4063400901401648079,10,9,8
6557658036958641588,10,9,9
3472075810981614387,10,6,6
8652251853329201030,10,10,9
-8292030653061689145,10,5,5
-7920036110689552764,10,6,9
1417592850229997386,10,10,10
8676384235153995185,10,7,5
-9196668942822132778,10,7,9
4316004032341334816,10,9,10
1492042537097239970,10,6,8
1498116869772772394,10,8,8
-8625026691457884033,10,7,6
-3707046244070418512,10,10,8
3948719927571797789,10,8,8
-1641011110986019039,10,3,3
1693920335354805642,10,9,9
-5732707497022383920,10,8,7
1716230101302949859,10,5,2
4989759812391042852,10,10,10
8656322302973426874,10,3,4
7640646622715356888,10,7,7
-2763124458232441793,10,9,8
-8527027076020639137,10,4,3
6489937596283721990,10,9,9
-5267933492417667631,10,8,7
6247767575778104994,10,5,5
-3404190841749582304,10,5,5
-5590226906710148930,10,8,7
-887301601153643466,10,8,9
3109240325511826829,10,6,6
5565776571801586229,10,8,9
-4716637009380371036,10,5,4
-4653503070379628113,10,4,4
-8985529623369322698,10,4,4
7459660693589256038,10,8,8
4452189708713295810,10,3,6
7450357541426294610,10,10,5
6261180175389146557,10,5,5
-3637188778150475975,10,3,3
-6631461711538275356,10,8,8
899165159624701221,10,7,7
-6014236343041475884,10,5,5
-240056303677024244,10,7,6
-8099670049200803627,10,6,7
-604923632438177509,10,10,9
-5140211912313628591,10,5,4
-1949305601666774230,10,10,7
-3055952319719418325,10,9,8
-4952379459094765124,10,5,5
-5090528934888924741,10,7,7
-5629192146302945053,10,4,4
-8781635134606732409,9,8,8
7184257542854236266,9,8,8
-5299969637554720500,9,9,9
-4654550534260740358,9,9,5
1022806743657391407,9,6,5
-5282003003431699874,9,4,3
-6674945460600816442,9,7,8
-8483977803231124788,9,2,5
8261378399174507610,9,5,5
-1643309141343055997,9,6,6
3967557748970163452,9,4,3
4156846511612859158,9,8,6
-5409830449698398534,9,5,4
1473125618302310292,9,6,4
-4319627801793650960,9,9,8
-8802075878443651241,9,7,7
753510015812479546,9,8,8
753551422329466662,9,5,6
-4474315553653067079,9,6,5
4699206643216946639,9,6,6
