,item_id,article_interactions
186,-8239286201029609369,1
187,-8222568914848295086,22
188,-8208801367848627943,266
189,-8204817396973648779,37
190,-8202212195240926680,1
191,-8196748324041706598,2
192,-8194774279664546436,11
193,-8193923078932592165,24
194,-8190931845319543363,96
195,-8189315446782327370,30
196,-8187220755213888616,35
197,-8167536150098135304,20
198,-8159730897893673528,86
199,-8158171393641147845,20
200,-8149429101569453081,23
201,-8146108036639482450,9
202,-8145607370067359341,29
203,-8142426490949346803,37
204,-8141818108252244664,5
205,-8123488152283046553,10
206,-8123434787655959885,8
207,-8119612270825155371,4
208,-8099709040471107382,1
209,-8099145207792678586,29
210,-8085935119790093311,68
211,-8083832514395551465,1
212,-8068727428160395745,2
213,-8052188270551570124,27
214,-8047634385511625486,16
215,-8043889175123948305,80
216,-8041742992841055506,3
217,-8031358134051918098,27
218,-8030181764663752939,8
219,-8026099268928087567,6
220,-8025433077701076525,6
221,-8018192200278263695,33
222,-8018088591294066196,24
223,-8009994379436553252,2
224,-8009527121402763559,21
225,-7992053163122498177,23
226,-7990179956144740367,22
227,-7986975759046428357,55
228,-7977868424702448788,5
229,-7959318068735027467,17
230,-7953698795259311774,6
231,-7926018713416777892,2
232,-7925445844362296966,1
233,-7908990633460844158,22
234,-7905002887579197656,1
235,-7900768082301348135,3
236,-7895534832212398576,22
237,-7891960098457323262,12
238,-7891293130731329672,44
239,-7879096649194981370,23
240,-7876497512693688413,29
241,-7875485745277808506,2
242,-7862677531530632089,31
243,-7838000919054582150,32
244,-7833921387228274142,3
245,-7826213337362450520,52
246,-7820640624231356730,11
247,-7812176982819372240,43
248,-7809508238092432842,46
249,-7805090055463938263,4
250,-7796858148829878756,2
251,-7780475830807410936,4
252,-7777013191403056825,15
253,-7766518409111702133,1
254,-7762049078455894395,5
255,-7732246497578572511,1
256,-7726397374158219907,11
257,-7722236679806608274,44
258,-7714713652743527644,19
259,-7702672626132856079,8
260,-7691630854548349557,16
261,-7685837606421530296,1
262,-7684863035595645318,3
263,-7681408188643141872,89
264,-7673844339521298105,3
265,-7666273193533605701,4
266,-7660505434580831027,70
267,-7655127094029937288,4
268,-7646922141533719881,58
269,-7646489242554562522,21
270,-7639185658532886960,16
271,-7638840925036528150,5
272,-7627738093477170171,6
273,-7627277742224639768,7
274,-7623502978685822577,63
275,-7620438371471449873,20
276,-7613994611628693820,31
277,-7586203274767893481,16
278,-7585525446062170144,13
279,-7584037043735285197,28
280,-7580433478964181862,17
281,-7571123172959828025,5
282,-7570652411388243006,37
283,-7568926158048616650,5
284,-7566966163569468290,34
285,-7565625515044903967,18
286,-7564569805639737618,49
287,-7564053678326007415,6
288,-7555896091148631419,22
289,-7554863616241981368,2
290,-7553931975579248065,39
291,-7550906488404754851,27
292,-7542498020532209188,6
293,-7539647701814009718,26
294,-7539387928750597096,30
295,-7534240757267992657,2
296,-7529178973676767391,3
297,-7525512143002603676,22
298,-7518373517401484139,92
299,-7509877147979461087,3
300,-7508055250504867652,38
301,-7499831854130267106,6
302,-7492067511846042603,33
303,-7485130558326482162,16
304,-7484960773951920439,19
305,-7481609677042800346,13
306,-7474372733748503487,15
307,-7463572107837163154,14
308,-7463305179076477879,118
309,-7454907763335725103,3
310,-7452761262757182727,5
311,-7448252416950961815,4
312,-7447329442374055391,6
313,-7442296890640709658,4
314,-7423191370472335463,84
315,-7406587779348496692,9
316,-7399665664688732365,32
317,-7388035385087807288,4
318,-7387185690512762935,47
319,-7384231993217222764,6
320,-7380550029266431533,14
321,-7371144664961016145,5
322,-7367898111498277224,9
323,-7358932766266901263,1
324,-7356135999773525293,2
325,-7350631483047993309,11
326,-7349721727282676870,14
327,-7342604649736473979,46
328,-7331393944609614247,30
329,-7322744040992592407,11
330,-7315032288233856709,7
331,-7298164314968527788,9
332,-7294716554902079523,139
333,-7292285110016212249,1
334,-7277691357631151609,3
335,-7273935215244206740,12
336,-7264217791213422584,41
337,-7259527987837041658,6
338,-7255737497176527784,5
339,-7217198366041991957,34
340,-7215110246375999491,28
341,-7202774608580336956,8
342,-7195227263752331646,9
343,-7193893108516217330,6
344,-7191607771634445823,14
345,-7174595923544719736,20
346,-7169261479876586557,33
347,-7165716941095296287,4
348,-7162567255723313045,55
349,-7155846267321183721,8
350,-7152753999571084411,6
351,-7130425546996181071,15
352,-7126520323752764957,49
353,-7124339858992523617,9
354,-7120369133608664808,80
355,-7113155163062752691,131
356,-7108012586837980940,1
357,-7101541512657907485,1
358,-7082978776831463151,10
359,-7078081008943106850,13
360,-7051470020148066326,7
361,-7047448754687279385,52
362,-7043209138459666190,9
363,-7042078050206929948,6
364,-7034660627992927630,3
365,-7033990154815318757,3
366,-7009536306337650657,14
367,-7004749589391210034,7
368,-7002558676365724983,4
369,-6999747484065183134,3
370,-6999287066519531005,55
371,-6993279786012379694,25
372,-6980020268309524947,74
373,-6970201660508635241,3
374,-6968139157190736175,11
375,-6941293448141178017,8
376,-6941221957775073810,21
377,-6940923725353716164,13
378,-6940659689413147290,13
379,-6932442635231192683,9
380,-6902744509271060072,14
381,-6893108632164641498,23
382,-6884335507424704154,15
383,-6878119266243511199,19
384,-6875247493073242590,4
385,-6874540813378776198,6
386,-6872546942144599345,80
387,-6863138929434705713,12
388,-6859363289291329827,6
389,-6859269826758227273,7
390,-6858665134018491791,36
391,-6858240061363309239,9
392,-6851896696719147400,10
393,-6851425181090952724,20
394,-6843047699859121724,281
395,-6840859460575237450,66
396,-6836878558969096936,16
397,-6829454835237183038,16
398,-6820241302436968068,34
399,-6817732106250460899,1
400,-6817174660103551196,8
401,-6814865160063205794,16
402,-6810702648836067504,28
403,-6810247170272691501,13
404,-6798063491592860025,12
405,-6792965795755857419,13
406,-6783772548752091658,294
407,-6778286518036232293,32
408,-6772940823843058601,60
409,-6772450850499951060,1
410,-6765871608738223618,17
411,-6761163882540291832,15
412,-6752460077509522132,12
413,-6742146164569753679,1
414,-6739959707791598779,22
415,-6734931185433789466,9
416,-6732229745645090645,3
417,-6728844082024523434,148
418,-6727393385193911938,4
419,-6727357771678896471,55
420,-6726685468116057064,30
421,-6725796505137573953,2
422,-6713697716910928909,12
423,-6707474286910397949,44
424,-6704596170548214779,9
425,-6697357763177451167,51
426,-6661204361884000663,9
427,-6659933088254630422,10
428,-6654470039478316910,86
429,-6651333707067617642,4
430,-6644942243927487010,18
431,-6644783190271298310,22
432,-6643406494673362190,33
433,-6642751159620064055,103
434,-6641749235744758169,6
435,-6639617916149472585,3
436,-6634868367571835312,3
437,-6625273991455881177,13
438,-6623581327558800021,87
439,-6603970730135147059,101
440,-6603351162010419903,74
441,-6598777110696521045,14
442,-6592496241044177853,43
443,-6590819806697898649,56
444,-6590064508646491981,49
445,-6584408680441477889,40
446,-6579094253358169934,31
447,-6570327055377820618,6
448,-6566328419164841526,15
449,-6566175321434139682,7
450,-6564402465035266866,1
451,-6558712014192834002,26
452,-6546787050052580484,4
453,-6545872007932025533,61
454,-6542996094878850014,108
455,-6537529846890876234,3
456,-6526049170878205106,9
457,-6523871595334455509,69
458,-6518848947517153700,18
459,-6514535768080218883,5
460,-6511604233888915532,5
461,-6511498353814468913,21
462,-6510151088126868601,1
463,-6504694273023533189,21
464,-6499865726739947794,1
465,-6484638837208285334,33
466,-6479058008972757948,11
467,-6468782714472551646,1
468,-6467708104873171151,78
469,-6466212324513658217,22
470,-6463637573325658465,13
471,-6460613292182959076,9
472,-6451309518266745024,3
473,-6444494220871855741,43
474,-6400214860728938634,49
475,-6397413461412629080,3
476,-6394075099886393346,10
477,-6380034335041404646,22
478,-6369211973034956889,38
479,-6362758570633473480,5
480,-6362580505010802881,8
481,-6359164149051198083,11
482,-6348943063155744346,14
483,-6347212504547574224,51
484,-6346370309134074019,15
485,-6340141548068597572,36
486,-6324550271415246022,7
487,-6313130301986591995,5
488,-6312384811410586459,4
489,-6308850935767965758,20
490,-6289909056857931861,37
491,-6273159470243757969,43
492,-6255454949363031923,13
493,-6255158415883847921,116
494,-6249065792190816357,8
495,-6245566021053602636,52
496,-6245524727898921842,1
497,-6244754482621048226,13
498,-6238628334008320788,16
499,-6215634663594744290,3
500,-6207670654614839859,2
501,-6195775145989617417,24
502,-6192959589652486637,9
503,-6192579321116251081,15
504,-6184570078369383337,19
505,-6180514744351188891,4
506,-6174871522512566947,23
507,-6171950598721418038,1
508,-6157984812065160219,26
509,-6156751702010469220,221
510,-6151852268067518688,13
511,-6142462826726347616,2
512,-6136272094613269629,15
513,-6133746337603876146,26
514,-6126634320182965455,18
515,-6124198068300347794,27
516,-6121430502305136434,8
517,-6119620726358216329,7
518,-6115752106105570167,2
519,-6096307037126839100,5
520,-6076367233589223323,30
521,-6074661548047199165,7
522,-6074646493203713780,58
523,-6058152698516590252,35
524,-6056382045660082261,4
525,-6035458164887182128,19
526,-6016433871633244814,1
527,-6009377241272750648,42
528,-6005035774300213929,14
529,-5997769775112032630,61
530,-5989749314869037016,3
531,-5976464170927897250,12
532,-5973686110278905367,13
533,-5954724412982705962,5
534,-5953227649059336919,17
535,-5952729859839521828,48
536,-5941854046477982982,18
537,-5924653357616257702,2
538,-5920475612630001479,150
539,-5917314377186856799,9
540,-5912792039759735631,49
541,-5895530418852362770,4
542,-5881946480525580860,4
543,-5879360586463363298,99
544,-5867424949902842953,3
545,-5850390492300666299,49
546,-5848755753905481990,45
547,-5848514031542611523,66
548,-5847687782206566321,16
549,-5845411843260276924,11
550,-5843518165523212471,34
551,-5839185923562195912,21
552,-5836228373063558898,8
553,-5833012379380837354,15
554,-5829979886567267504,20
555,-5829402940194444779,13
556,-5826278791285476287,22
557,-5823763419123575797,5
558,-5823398424129440733,3
559,-5820943153819992582,1
560,-5813211845057621660,45
561,-5808672937983623398,3
562,-5799839529845993396,28
563,-5798690764728257756,5
564,-5794047401651735687,8
565,-5791454671270548045,17
566,-5790539535722288419,11
567,-5786811453218931415,9
568,-5784991738549272379,166
569,-5784228041033890044,45
570,-5781461435447152359,26
571,-5778988730475305016,31
572,-5769968511636780471,4
573,-5762305367413370284,7
574,-5756697018315640725,63
575,-5750828394349042089,12
576,-5736221996280340620,33
577,-5729915270134094048,29
578,-5715266554592745669,4
579,-5702535287667979261,2
580,-5691384416070374740,6
581,-5691008411030226594,7
582,-5690023155612846030,28
583,-5689187996536546877,10
584,-5686522658459155544,4
585,-5684357871122991503,51
586,-5680127089889759432,8
587,-5679515279292214033,10
588,-5679427141235752819,17
589,-5678159351655490918,3
590,-5676280017759875198,4
591,-5669503112960687520,8
592,-5658245291907121574,47
593,-5649504870272917833,3
594,-5647324599703588252,4
595,-5637143900506554933,8
596,-5636731245639685654,30
597,-5628897645967553681,77
598,-5628343274127925011,5
599,-5625593730080264433,91
600,-5622405819042018718,9
601,-5618100784509704440,24
602,-5613218615976195909,8
603,-5610593914683957297,1
604,-5608160619992456731,1
605,-5605799891597699962,33
606,-5602127731550819348,18
607,-5600393064072065417,12
608,-5581910915745827384,2
609,-5579492244806284582,22
610,-5578229678262992168,2
611,-5573840044320724169,3
612,-5571606607344218289,60
613,-5570795524983603787,2
614,-5570256785328462468,2
615,-5570129644089964821,81
616,-5557505576293652420,9
617,-5550023273712568004,4
618,-5527182266336855540,22
619,-5525441367600219076,1
620,-5522643017727334716,11
621,-5521549171704079872,1
622,-5515204090203464377,45
623,-5507019982244746725,52
624,-5500597021296520708,19
625,-5491334714953807444,26
626,-5488842573681626972,100
627,-5482295111885355605,3
628,-5470166294767187597,1
629,-5464698687596686623,16
630,-5458316826145145813,6
631,-5452374239565071760,3
632,-5446204508747882127,42
633,-5444306124868253918,8
634,-5434287697440336767,13
635,-5431549861280885742,21
636,-5414889822782394955,42
637,-5411404485622449820,1
638,-5410531116380081703,63
639,-5405021817466310759,4
640,-5403733687257676872,31
641,-5395935973320542237,5
642,-5386512752101672374,20
643,-5380376324140474506,91
644,-5363263367015469934,49
645,-5361115220834660562,24
646,-5350793437550886525,7
647,-5345231991504930502,1
648,-5331421579623797776,5
649,-5328971462978089293,3
650,-5322047011520469406,24
651,-5319401396891346003,18
652,-5315378314308323942,12
653,-5314778455998444995,2
654,-5313466754735123256,20
655,-5297634649735765167,23
656,-5289386635926629588,1
657,-5283011611531067471,35
658,-5283009029345397378,37
659,-5257244885628286303,11
660,-5255285107284514595,30
661,-5253644367331262405,47
662,-5238066650780855302,7
663,-5231736210378596444,4
664,-5214997228209357198,28
665,-5204755921272353160,13
666,-5200964355640106406,12
667,-5198756378866433953,32
668,-5193720747719231594,33
669,-5181489804915739633,16
670,-5179565226573622983,9
671,-5179258585851879449,6
672,-5170198873410718233,26
673,-5161313513317812402,56
674,-5160830061297425098,12
675,-5154395767417065070,56
676,-5151030094059373567,9
677,-5150441845583002912,24
678,-5148591903395022444,176
679,-5123671543726522991,10
680,-5116903270312432935,7
681,-5115041394506292462,11
682,-5088157426675091741,50
683,-5086435085468197402,15
684,-5082274522455747241,25
685,-5078536505040226358,27
686,-5071600977095793163,7
687,-5065077552540450930,65
688,-5060993828460133882,4
689,-5055745575969002313,7
690,-5044204125574973395,75
691,-5043294260151549400,9
692,-5039153034159656707,43
693,-5037827401452845772,52
694,-5027816744653977347,17
695,-5025556998520984849,4
696,-5024561776910686117,18
697,-5020541944663390025,3
698,-5017021199558167721,13
699,-5014627593450767720,120
700,-5011709367955107239,34
701,-5009578843275173733,2
702,-5002383425685129595,190
703,-5000193502203199335,5
704,-4996336942690402156,88
705,-4994468824009200256,4
706,-4977928818612291634,13
707,-4975645025178552956,12
708,-4974757204495953627,43
709,-4948717594596229869,1
710,-4948201003470936673,12
711,-4944551138301474550,33
712,-4930542581518647030,1
713,-4925213312961842798,10
714,-4921088466135297415,26
715,-4920252354047555768,6
716,-4917007328809735647,6
717,-4893195573827770029,9
718,-4888170580455425266,117
719,-4882849408937990337,2
720,-4875060556471576861,57
721,-4872447160271266802,17
722,-4866987227632887920,4
723,-4864344772765973009,3
724,-4844663695104994694,14
725,-4833307637594287163,16
726,-4831310174172854034,39
727,-4798431998955209742,77
728,-4793380646045599184,4
729,-4770861947600256785,21
730,-4767439283620384185,16
731,-4765711818183276269,39
732,-4762897581600184489,5
733,-4761420664091904483,8
734,-4760639635023250284,6
735,-4754223659064624252,98
736,-4749032095489327822,5
737,-4748027149000767298,1
738,-4740532350684079805,9
739,-4738242186452730534,3
740,-4726309075125105018,4
741,-4718837078135183000,6
742,-4709710373442563586,10
743,-4707863452603278075,16
744,-4704033845097735448,5
745,-4700714777342103147,54
746,-4698104907897418459,16
747,-4673604375671208816,11
748,-4673235524420943843,11
749,-4668565519400205181,13
750,-4662020648308370136,5
751,-4657414671719964025,6
752,-4655195825208522542,78
753,-4640750981890093183,4
754,-4625438649010928449,39
755,-4615575698508618335,6
756,-4615179238096674750,19
757,-4613284400780388067,24
758,-4612605965384710183,26
759,-4608017393995766765,10
760,-4600611344822394376,9
761,-4582216289807398227,20
762,-4575943417765899041,1
763,-4571929941432664145,29
764,-4570752586662989981,3
765,-4562218760600603086,17
766,-4561077506184283336,17
767,-4552546534914807304,5
768,-4550355627706401135,24
769,-4541461982704074404,24
770,-4531029390350541169,3
771,-4524355549457527387,11
772,-4509487968959834430,97
773,-4507929853521434970,13
774,-4505450219733822767,8
775,-4503975842879662368,176
776,-4487024160266973763,66
777,-4485188959476061019,7
778,-4483059513836093676,17
779,-4475938295812802739,24
780,-4469492210394109129,7
781,-4463029741564307314,26
782,-4460374799273064357,55
783,-4458371007893120981,16
784,-4451918963121780798,4
785,-4434534460030275781,12
786,-4414039190127558142,23
787,-4412848927260591416,2
788,-4399400419562742528,7
789,-4386371945374980231,56
790,-4374331682165863764,9
791,-4358357193736101128,43
792,-4351117979148287331,1
793,-4338308747999225618,60
794,-4336877432539963613,42
795,-4336355219396419841,11
796,-4333957157636611418,192
797,-4333056764244640444,45
798,-4320251915347436672,25
799,-4318248821095057296,19
800,-4316394955033262743,5
801,-4309525417316029305,4
802,-4303046765246718776,11
803,-4295420427690447901,13
804,-4293262855938209141,29
805,-4280604324733069853,11
806,-4278025512576376201,113
807,-4270702541777554377,2
808,-4265002939801511319,1
809,-4262964715347041233,23
810,-4248528062574538011,1
811,-4239579488204604851,23
812,-4233809085822159066,9
813,-4233177915193302509,48
814,-4231142613423804992,5
815,-4228415104574264137,89
816,-4218676349553328084,6
817,-4216050818952952471,38
818,-4205603734017049464,3
819,-4205346868684833897,78
820,-4201751526335049119,3
821,-4195851681734441295,15
822,-4194520495766350572,4
823,-4187268503708157132,1
824,-4186591400427142356,4
825,-4163754746025598258,6
826,-4158297476631283435,50
827,-4145260601063545880,117
828,-4138575697540914268,10
829,-4133169317019898816,39
830,-4132331404553626868,44
831,-4130193294870737688,11
832,-4127059794203205931,10
833,-4126288159365354498,10
834,-4110991218639855802,12
835,-4110354420726924665,1
836,-4102297002729307038,14
837,-4095842175692097942,25
838,-4089455027188314262,37
839,-4086521633840243549,8
840,-4084394822880420062,117
841,-4070929606295451361,13
842,-4070599188332885701,54
843,-4068545238978420047,2
844,-4050006690189978332,39
845,-4049108709890217048,14
846,-4037032837327175755,33
847,-4029704725707465084,433
848,-4027027091658759481,68
849,-4024778022934140027,39
850,-4024233104105796278,5
851,-3980612444042641628,16
852,-3978716320611299242,2
853,-3974295763584921518,2
854,-3968102273907750828,2
855,-3964583697784528168,18
856,-3959242148361340089,57
857,-3954182109690207118,31
858,-3951274083288934897,12
859,-3946932055798267834,1
860,-3944300307678659798,43
861,-3920984929373505016,9
862,-3920124114454832425,12
863,-3915769742442748515,20
864,-3912939678517879962,40
865,-3900870368325485697,32
866,-3886927790136130174,23
867,-3883591366197282127,13
868,-3876501423599932851,7
869,-3875881534863988868,32
870,-3872763991286728274,2
871,-3870325027932266414,29
872,-3870015206307768313,13
873,-3864069617285644895,36
874,-3854488592949785912,1
875,-3850803681204406658,36
876,-3850335246895770347,20
877,-3832772858396854546,2
878,-3825317043780889928,2
879,-3820497466351868775,18
880,-3810375613673461625,6
881,-3792933059425955471,3
882,-3790313320969344469,14
883,-3785072380450959101,19
884,-3780822597455574960,63
885,-3760006690401014603,21
886,-3759596852696130492,24
887,-3758287970266820834,8
888,-3751398885033121551,20
889,-3751249597609107201,26
890,-3750879736572068916,47
891,-3750301395521973493,3
892,-3745582971859460684,5
893,-3739000323288188282,26
894,-3734583695144530256,12
895,-3723217532224917485,57
896,-3718969219417182449,1
897,-3716447017462787559,128
898,-3709378389941441506,13
899,-3705763041224967421,28
900,-3700095596785790870,55
901,-3699283667575074041,2
902,-3697359635590244386,5
903,-3687965339291665275,23
904,-3678789633202302491,115
905,-3675009040647936899,33
906,-3671800260859291252,7
907,-3666646454167334466,35
908,-3663415946827459961,3
909,-3662111110237135231,44
910,-3660106964555224100,4
911,-3653998742295730637,4
912,-3645539449929727083,5
913,-3641109225708958458,11
914,-3633300009206493694,5
915,-3622715112759104312,1
916,-3620251618670158123,13
917,-3619568065513202846,28
918,-3614882924009373024,4
919,-3612149709424815327,10
920,-3605608255586388018,67
921,-3590865837401183812,20
922,-3581194288660477595,70
923,-3555513869558669392,9
924,-3552937095886146934,30
925,-3548152957882579401,6
926,-3544655814153481738,6
927,-3540554289369551216,10
928,-3537777320523757545,10
929,-3528088210002754978,2
930,-3515692979189178102,7
931,-3513515650250501785,22
932,-3513353119850106583,15
933,-3499919498720038879,20
934,-3488100191290830083,10
935,-3487500907059331343,7
936,-3482581255202910790,35
937,-3469502952547705884,30
938,-3468529816757552062,8
939,-3462051751080362224,11
940,-3460883803089049921,13
941,-3450690190989108770,9
942,-3428996085514172371,24
943,-3417523159811412977,28
944,-3410781775610270991,25
945,-3405516291669853723,13
946,-3404981437157985820,4
947,-3400154175330058574,31
948,-3395906801262755897,11
949,-3387888707667201720,4
950,-3387298624573211014,16
951,-3368357500455466403,11
952,-3367778232969996503,15
953,-3363563881552061188,35
954,-3357295447978726475,3
955,-3351990231604537690,4
956,-3351656282247453586,31
957,-3351652027149912881,31
958,-3348652277274905234,37
959,-3348458175249982599,4
960,-3338916066794638254,42
961,-3336755617029300430,9
962,-3324787160651928845,12
963,-3307413259092352650,29
964,-3302834510061927448,43
965,-3299064309968644318,21
966,-3295913657316686039,3
967,-3295730307439884506,4
968,-3285620956704836473,2
969,-3285397592982852407,105
970,-3275688295651945765,35
971,-3269885695260066314,28
972,-3267081294086663175,10
973,-3265730906936163775,1
974,-3258959365023720872,21
975,-3248233692182971167,11
976,-3234984575507976056,10
977,-3231932874544830919,13
978,-3224698078244963479,29
979,-3211843544085892873,4
980,-3206777048078326150,17
981,-3201623914150480647,5
982,-3191013159715472435,124
983,-3179358869851478234,7
984,-3173020603774823976,57
985,-3170855186954139022,17
986,-3170829374166745427,13
987,-3170783292462058942,43
988,-3169423801125605259,12
989,-3161714324304758767,71
990,-3136683414587095274,30
991,-3134743773662773628,12
992,-3130182799308303924,26
993,-3125361793069842594,7
994,-3114161754347804356,4
995,-3113913063173722290,2
996,-3110580810771259448,6
997,-3105075547863520421,1
998,-3102652803014865472,51
999,-3102446808559723934,40
1000,-3095494965842381869,23
1001,-3077386995956755130,12
1002,-3073433549435888423,5
1003,-3071732669882279801,40
1004,-3061741807736367554,19
1005,-3060116862184714437,13
1006,-3059841990815099417,13
1007,-3058031327323357308,86
1008,-3040610224044779845,130
1009,-3037091822980174821,14
1010,-3027055440570405664,84
1011,-3020916840917845519,47
1012,-3015446245469915661,9
1013,-2990485643677949494,3
1014,-2976850014387537414,9
1015,-2976309714446243509,3
1016,-2967429522197137387,18
1017,-2962461122453899874,6
1018,-2948321821574578861,126
1019,-2940536914889279273,4
1020,-2929967869758467182,4
1021,-2923886912694084893,21
1022,-2899726011463496555,35
1023,-2896441888220202695,12
1024,-2890958311805113955,16
1025,-2879657397552025078,3
1026,-2871347907044769386,16
1027,-2864378895481874465,6
1028,-2860224288374811338,14
1029,-2855910583928922225,46
1030,-2855218766021441159,26
1031,-2841995722250280583,25
1032,-2828628091730682303,73
1033,-2826566343807132236,2
1034,-2808969983997441543,36
1035,-2808959554282640221,33
1036,-2800563841840387504,4
1037,-2797708685347481851,8
1038,-2780168264183400543,13
1039,-2779829118032656703,5
1040,-2778760500673113802,12
1041,-2774293088092853604,55
1042,-2766592729910903198,6
1043,-2752345899464432864,35
1044,-2747266787901704910,39
1045,-2740396993975951758,43
1046,-2720012228333470715,43
1047,-2715495584815099454,10
1048,-2711301039947937868,4
1049,-2708021095252721995,23
1050,-2705245562881239338,22
1051,-2703878216681968882,7
1052,-2697906762425596568,9
1053,-2683134512107439488,38
1054,-2667874153709252756,51
1055,-2639327025262198345,12
1056,-2630716662499331227,11
1057,-2587745393898245957,1
1058,-2584174137395076448,115
1059,-2577148567706202814,2
1060,-2561023317421962555,6
1061,-2559385310537355580,12
1062,-2555801390963402198,13
1063,-2554512494756911972,52
1064,-2549933363319068481,58
1065,-2548446404469756145,10
1066,-2547386150711652030,11
1067,-2539915991213675511,37
1068,-2516726696296387544,20
